"module","phase","name","code","sequence","workflow_file","command","required","agent","display_name","title","icon","options","description","output_location","outputs"
"core","anytime","Brainstorming","BSP","","reference/BMAD/modules/custom/core/workflows/brainstorming/workflow.md","bmad-brainstorming","false","analyst","Mary","Business Analyst","ðŸ“Š","","Generate diverse ideas through interactive techniques. Broad strategic brainstorming writes to roadmap lane by default.","roadmap_brainstorming_dir","brainstorming session"
"core","anytime","Party Mode","PM","","reference/BMAD/modules/custom/core/workflows/party-mode/workflow.md","bmad-party-mode","false","party-mode facilitator","","","","","Orchestrate multi-agent discussions. Use when you need multiple agent perspectives or want agents to collaborate.","",""
"core","anytime","Autonomous Refinement Loop","ORL","","reference/BMAD/modules/custom/core/workflows/autonomous-refinement-loop/workflow.md","bmad-autonomous-refinement-loop","false","party-mode facilitator","","","","","Run autonomous party-mode and auto-elicitation loops with agent teams until zero unresolved issues remain; manual Party Mode and Advanced Elicitation remain available separately. Escalates only on blocked fixes.","",""
"core","anytime","bmad-help","BH","","reference/BMAD/modules/custom/core/tasks/help.md","bmad-help","false","","","","","","Get unstuck by showing what workflow steps come next or answering BMad Method questions.","",""
"core","anytime","Index Docs","ID","","reference/BMAD/modules/custom/core/tasks/index-docs.md","bmad-index-docs","false","","","","","","Create lightweight index for quick LLM scanning. Use when LLM needs to understand available docs without loading everything.","",""
"core","anytime","Shard Document","SD","","reference/BMAD/modules/custom/core/tasks/shard-doc.md","bmad-shard-doc","false","","","","","","Split large documents into smaller files by sections. Use when doc becomes too large (>500 lines) to manage effectively.","",""
"core","anytime","Editorial Review - Prose","EP","","reference/BMAD/modules/custom/core/tasks/editorial-review-prose.md","bmad-editorial-review-prose","false","","","","","","Review prose for clarity, tone, and communication issues. Use after drafting to polish written content.","report located with target document","three-column markdown table with suggested fixes"
"core","anytime","Editorial Review - Structure","ES","","reference/BMAD/modules/custom/core/tasks/editorial-review-structure.md","bmad-editorial-review-structure","false","","","","","","Propose cuts, reorganization, and simplification while preserving comprehension. Use when doc produced from multiple subprocesses or needs structural improvement.","report located with target document",""
"core","anytime","Adversarial Review (General)","AR","","reference/BMAD/modules/custom/core/tasks/review-adversarial-general.md","bmad-review-adversarial-general","false","","","","","","Review content critically to find issues and weaknesses. Use for quality assurance or before finalizing deliverables. Code Review in other modules run this automatically, but its useful also for document reviews","",""
"bmm","0-learning","Teach Me Testing","TMT","10","reference/BMAD/modules/custom/bmm/workflows/testarch/teach-me-testing/workflow.md","bmad-tea-teach-me-testing","false","tea","Murat","Master Test Architect and Quality Advisor","ðŸ§ª","Create Mode","Teach testing fundamentals through 7 sessions (TEA Academy).","current_testing_dir","progress file|session notes|certificate"
"bmm","anytime","Correct Course","CC","","reference/BMAD/modules/custom/bmm/workflows/4-implementation/correct-course/workflow.yaml","bmad-bmm-correct-course","false","sm","Bob","Scrum Master","ðŸƒ","Create Mode","Anytime: navigate significant changes. May recommend restart, PRD updates, architecture changes, sprint replanning, or story corrections.","current_evidence_dir","change proposal"
"bmm","anytime","Explain Concept","EC","","reference/BMAD/modules/custom/bmm/agents/tech-writer/tech-writer.agent.yaml","","false","tech-writer","Paige","Technical Writer","ðŸ“š","","Create clear technical explanations with examples or diagrams and place them in the docs reference lane when requested.","docs_reference_dir","explanation"
"bmm","anytime","Generate Project Context","GPC","","reference/BMAD/modules/custom/bmm/workflows/generate-project-context/workflow.md","bmad-bmm-generate-project-context","false","analyst","Mary","Business Analyst","ðŸ“Š","Create Mode","Generate or refresh the lean project-context artifact for the active roadmap slice or brownfield repo state.","current_project_context_dir","project context"
"bmm","anytime","Initialize Docs","DP","","reference/BMAD/modules/custom/bmm/workflows/documentation/init-docs/workflow.yaml","bmad-bmm-init-docs","false","analyst","Mary","Business Analyst","ðŸ“Š","Create Mode","Migrate existing documentation into Compass opinionated docs structure while preserving legacy docs in dated migration snapshots.","docs_root","docs initialization report|migration manifest"
"bmm","anytime","Initialize Planning","IP","","reference/BMAD/modules/custom/bmm/workflows/planning/init-planning/workflow.yaml","bmad-bmm-init-planning","false","analyst","Mary","Business Analyst","ðŸ“Š","Create Mode","Normalize existing planning into the Compass roadmap-driven planning structure while preserving legacy planning in dated migration snapshots.","planning_root","planning initialization report|migration manifest|authority files"
"bmm","anytime","Sync Repositories","SR","","reference/BMAD/modules/custom/bmm/workflows/planning/sync-repositories/workflow.yaml","bmad-bmm-sync-repositories","false","analyst","Mary","Business Analyst","ðŸ“Š","Create Mode","Compare planning/repositories.yaml against the current repo topology and update the approved registry after explicit approval.","planning_repositories_file","repository sync proposal|repository sync report|updated repository registry"
"bmm","anytime","Workspace Bootstrap","WB","","reference/BMAD/modules/custom/bmm/workflows/planning/workspace-bootstrap/workflow.yaml","bmad-bmm-workspace-bootstrap","false","analyst","Mary","Business Analyst","ðŸ“Š","Create Mode","Bootstrap selected repos from a workspace or orchestration root into the Compass BMAD planning and docs structure using safe migration rules.","planning_root","workspace bootstrap report|bootstrap selection|topology proposal"
"bmm","anytime","Mermaid Generate","MG","","reference/BMAD/modules/custom/bmm/agents/tech-writer/tech-writer.agent.yaml","","false","tech-writer","Paige","Technical Writer","ðŸ“š","","Create Mermaid diagrams aligned with Compass docs standards and place them in architecture or reference docs as appropriate.","docs_architecture_dir","mermaid diagram"
"bmm","anytime","Problem Solving","PS","","reference/BMAD/modules/custom/bmm/workflows/anytime/problem-solving/workflow.yaml","bmad-cis-problem-solving","false","creative-problem-solver","Dr. Quinn","Master Problem Solver","ðŸ”¬","Create Mode","Apply structured problem-solving methods to delivery blockers, design traps, or implementation challenges without forking the main BMAD pipeline.","current_implementation_research_dir","problem-solving analysis"
